Timeout|Limit|Ordering|C|Average depth|Average branching|Report frequency|Progress list|Acquired amount|Unaccepted amount
180|50|random|2.0|8.968996|3.634755|1.8|[1198, 2333, 3708, 4377, 5040, 5622, 6236, 6705, 7022, 7262, 7626, 7747, 8015, 8214, 8420, 8554, 8699, 8843, 8972, 9080, 9211, 9276, 9348, 9396, 9486, 9535, 9570, 9593, 9634, 9661, 9683, 9708, 9745, 9773, 9788, 9825, 9838, 9855, 9865, 9873, 9882, 9893, 9898, 9911, 9922, 9927, 9932, 9933, 9939, 9945, 9950, 9953, 9958, 9959, 9965, 9969, 9971, 9973, 9974, 9975, 9981, 9983, 9983, 9984, 9984, 9985, 9985, 9985, 9987, 9988, 9991, 9992, 9992, 9994, 9995, 9995, 9997, 9997, 9997, 9997, 9997, 9997, 9997, 9998, 9998, 9998]|10000|3253
180|50|fixed|2.0|7.0|7.0|1.8|[783, 1776, 2682, 3206, 3795, 4413, 4900, 5292, 5761, 6168, 6603, 6905, 7124, 7376, 7433, 7605, 7887, 8072, 8244, 8337, 8530, 8759, 8824, 8950, 9055, 9193, 9193, 9282, 9282, 9336, 9336, 9366, 9412, 9483, 9607, 9607, 9607, 9642, 9692, 9692, 9692, 9692, 9692, 9757, 9794, 9794, 9814, 9814, 9814, 9814, 9848, 9848, 9848, 9848, 9848, 9904, 9904, 9904, 9904, 9931, 9931, 9931, 9931, 9931, 9931, 9931, 9965, 9965, 9965, 9965, 9965, 9965, 9965, 9965, 9965, 9965, 9965, 9965, 9965, 9965, 9965, 9965, 9965, 9965, 9965, 9965, 9965, 9965, 9965, 9965, 9965, 9965, 9965]|9965|9398
180|200|random|2.0|7.311828|3.738773|1.8|[5041, 7259, 8440, 9022, 9226, 9479, 9622, 9743, 9824, 9868, 9929, 9958, 9979, 9992, 9993, 9993, 9998, 9999, 9999, 9999, 9999, 9999, 9999]|10000|637
180|200|fixed|2.0|6.797896|6.393687|1.8|[1157, 2070, 3230, 4207, 5004, 5665, 5921, 6718, 7240, 7465, 7743, 8346, 8469, 8587, 8746, 8836, 8987, 8987, 9040, 9073, 9181, 9181, 9208, 9271, 9324, 9324, 9384, 9410, 9410, 9476, 9506, 9560, 9560, 9560, 9560, 9560, 9610, 9610, 9610, 9610, 9610, 9610, 9610, 9610, 9610, 9610, 9610, 9610, 9610, 9610, 9610, 9610, 9610, 9610, 9805, 9805, 9805, 9805, 9805, 9805, 9805, 9805, 9805, 9805, 9805, 9805, 9805, 9805, 9805, 9805, 9805, 9805, 9805, 9805, 9805, 9805, 9805, 9805, 9805, 9805, 9805, 9805, 9805, 9805, 9805, 9805, 9805, 9805, 9805]|9805|3242
180|1|random|3.0|13.010832|3.10855|1.8|[38, 88, 136, 180, 231, 285, 333, 373, 415, 461, 501, 547, 588, 627, 662, 700, 736, 779, 819, 864, 916, 950, 981, 1012, 1050, 1086, 1124, 1145, 1180, 1217, 1255, 1291, 1330, 1369, 1398, 1429, 1467, 1502, 1532, 1565, 1594, 1622, 1659, 1682, 1716, 1743, 1774, 1805, 1821, 1853, 1879, 1901, 1929, 1960, 1995, 2018, 2041, 2068, 2104, 2120, 2148, 2170, 2198, 2233, 2258, 2287, 2316, 2340, 2364, 2390, 2411, 2441, 2463, 2491, 2517, 2542, 2561, 2584, 2607, 2632, 2646, 2667, 2696, 2717, 2745, 2770, 2794, 2815, 2840, 2860, 2885, 2908, 2925, 2946, 2970, 2995, 3017, 3044, 3060]|3082|524
180|1|fixed|3.0|10.351613|8.967742|1.8|[3, 10, 17, 27, 40, 46, 57, 62, 71, 75, 84, 88, 97, 104, 114, 122, 129, 133, 140, 146, 151, 153, 158, 162, 165, 169, 173, 177, 183, 191, 200, 207, 214, 221, 225, 231, 235, 241, 245, 250, 254, 257, 265, 271, 275, 275, 282, 287, 292, 300, 307, 313, 316, 320, 330, 333, 333, 341, 350, 352, 356, 358, 364, 369, 376, 377, 381, 385, 388, 394, 396, 400, 402, 407, 413, 415, 420, 424, 425, 429, 433, 436, 438, 442, 449, 454, 455, 458, 460, 465, 469, 472, 474, 478, 481, 485, 490, 493, 494]|494|5374
180|10|random|3.0|10.831666|3.55373|1.8|[183, 569, 925, 1199, 1460, 1776, 2128, 2421, 2728, 3008, 3257, 3535, 3782, 3988, 4185, 4425, 4638, 4862, 5085, 5271, 5457, 5607, 5765, 5916, 6054, 6180, 6320, 6440, 6548, 6685, 6803, 6906, 6996, 7103, 7215, 7326, 7397, 7487, 7572, 7632, 7696, 7772, 7826, 7899, 7956, 7996, 8051, 8118, 8181, 8241, 8290, 8339, 8394, 8437, 8481, 8521, 8580, 8621, 8660, 8698, 8721, 8750, 8777, 8802, 8831, 8866, 8908, 8945, 8979, 9014, 9047, 9077, 9104, 9123, 9158, 9172, 9193, 9220, 9234, 9263, 9270, 9288, 9316, 9332, 9353, 9374, 9388, 9405, 9418, 9431, 9447, 9464, 9479, 9491, 9505, 9517, 9527, 9538, 9556]|9561|1663
180|10|fixed|3.0|8.988065|2.845479|1.8|[792, 1685, 2355, 3036, 3602, 4207, 4622, 4986, 5383, 5661, 5942, 6207, 6419, 6619, 6784, 6880, 6996, 7097, 7280, 7432, 7517, 7592, 7695, 7808, 7856, 7898, 7941, 8012, 8047, 8131, 8164, 8179, 8222, 8273, 8307, 8323, 8349, 8379, 8399, 8429, 8451, 8468, 8491, 8524, 8541, 8547, 8550, 8568, 8586, 8595, 8608, 8610, 8627, 8637, 8648, 8660, 8687, 8699, 8703, 8718, 8741, 8763, 8776, 8781, 8786, 8792, 8806, 8816, 8824, 8832, 8835, 8850, 8857, 8868, 8874, 8889, 8895, 8908, 8916, 8920, 8926, 8931, 8939, 8944, 8947, 8951, 8961, 8971, 8984, 8993, 8998, 8999, 9011, 9028, 9038, 9052, 9065, 9077]|9078|0
180|50|random|3.0|8.91411|3.611963|1.8|[1763, 3424, 4666, 5666, 6444, 7282, 7784, 8194, 8530, 8787, 8969, 9085, 9244, 9426, 9510, 9601, 9667, 9730, 9775, 9821, 9861, 9889, 9907, 9919, 9926, 9937, 9949, 9961, 9967, 9972, 9978, 9979, 9983, 9985, 9986, 9986, 9991, 9991, 9992, 9993, 9993, 9994, 9994, 9996, 9997, 9998, 9998, 9998, 9998, 9998, 9999, 9999]|10000|505
180|50|fixed|3.0|7.0|7.0|1.8|[3403, 6170, 7634, 8380, 8800, 9284, 9565, 9726, 9884, 9919, 9940, 9971, 9971, 9971, 9971, 9971, 9971]|10000|0
180|200|random|3.0|7.333733|3.705882|1.8|[4972, 7796, 8963, 9552, 9700, 9869, 9935, 9960, 9979, 9992, 9997, 9998, 9999]|10000|27
180|200|fixed|3.0|6.794061|6.382184|1.8|[2576, 4301, 6209, 6866, 7682, 8159, 8506, 8785, 9256, 9418, 9516, 9516, 9644, 9808, 9874, 9900, 9967, 9967, 9967, 9967]|10000|355
180|1|random|4.0|13.004511|3.07716|1.8|[35, 69, 114, 157, 210, 248, 288, 336, 383, 432, 478, 530, 573, 615, 650, 696, 738, 784, 835, 875, 907, 951, 990, 1026, 1055, 1099, 1148, 1195, 1236, 1276, 1314, 1351, 1385, 1424, 1456, 1493, 1539, 1581, 1617, 1640, 1673, 1708, 1742, 1769, 1802, 1840, 1870, 1909, 1944, 1969, 2000, 2028, 2057, 2083, 2119, 2156, 2186, 2217, 2246, 2269, 2298, 2336, 2367, 2392, 2425, 2456, 2479, 2509, 2539, 2558, 2583, 2620, 2647, 2671, 2702, 2728, 2751, 2784, 2808, 2835, 2865, 2892, 2908, 2941, 2962, 2992, 3013, 3043, 3068, 3099, 3118, 3139, 3168, 3195, 3220, 3244, 3267, 3291, 3310]|3322|72
180|1|fixed|4.0|10.360056|8.883915|1.8|[51, 112, 166, 217, 270, 316, 358, 413, 449, 495, 527, 570, 610, 651, 696, 734, 776, 809, 845, 883, 919, 950, 985, 1023, 1060, 1090, 1122, 1163, 1193, 1223, 1255, 1282, 1313, 1343, 1375, 1411, 1443, 1473, 1497, 1524, 1554, 1582, 1609, 1641, 1675, 1704, 1727, 1733, 1759, 1786, 1809, 1831, 1862, 1895, 1924, 1948, 1970, 1995, 2012, 2034, 2052, 2076, 2097, 2107, 2131, 2156, 2180, 2200, 2223, 2241, 2269, 2286, 2301, 2326, 2351, 2360, 2382, 2405, 2428, 2448, 2468, 2485, 2503, 2523, 2548, 2562, 2580, 2600, 2622, 2645, 2660, 2683, 2699, 2721, 2743, 2759, 2772, 2793]|2813|2366
180|10|random|4.0|10.835398|3.60177|1.8|[353, 766, 1216, 1599, 2050, 2461, 2814, 3142, 3492, 3782, 4068, 4309, 4552, 4813, 5075, 5260, 5503, 5715, 5900, 6100, 6257, 6406, 6572, 6753, 6889, 7008, 7124, 7240, 7355, 7435, 7541, 7639, 7739, 7821, 7912, 7991, 8071, 8144, 8238, 8297, 8361, 8427, 8484, 8535, 8603, 8659, 8692, 8751, 8796, 8841, 8888, 8942, 9011, 9050, 9088, 9119, 9151, 9181, 9224, 9250, 9267, 9306, 9330, 9363, 9390, 9417, 9440, 9457, 9482, 9501, 9524, 9548, 9565, 9581, 9591, 9604, 9620, 9635, 9644, 9658, 9673, 9687, 9692, 9702, 9712, 9718, 9724, 9733, 9743, 9751, 9758, 9766, 9774, 9783, 9793, 9798, 9800, 9812, 9817]|9819|153
180|10|fixed|4.0|8.9759|2.776345|1.8|[795, 1581, 2353, 3029, 3652, 4244, 4651, 5116, 5400, 5728, 6002, 6257, 6514, 6703, 6855, 7012, 7138, 7269, 7374, 7488, 7579, 7627, 7721, 7782, 7901, 7972, 8001, 8046, 8088, 8115, 8160, 8188, 8231, 8261, 8289, 8338, 8356, 8382, 8412, 8442, 8454, 8508, 8521, 8531, 8550, 8562, 8580, 8598, 8607, 8624, 8627, 8629, 8645, 8678, 8701, 8715, 8729, 8738, 8743, 8755, 8762, 8771, 8780, 8785, 8796, 8802, 8803, 8810, 8826, 8833, 8844, 8850, 8856, 8859, 8861, 8866, 8871, 8882, 8886, 8889, 8901, 8905, 8914, 8925, 8932, 8938, 8945, 8950, 8958, 8963, 8969, 8969, 8980, 8986, 8992, 8999, 9010, 9019, 9024]|9026|0
180|50|random|4.0|8.958933|3.581835|1.8|[1936, 3790, 5034, 6108, 6852, 7547, 8048, 8519, 8970, 9214, 9387, 9454, 9596, 9673, 9738, 9800, 9833, 9887, 9907, 9928, 9942, 9955, 9967, 9968, 9975, 9980, 9984, 9989, 9993, 9994, 9994, 9995, 9995, 9995, 9996, 9996, 9996, 9996, 9997, 9997, 9998, 9998, 9999, 9999, 9999]|10000|2
180|50|fixed|4.0|7.0|7.0|1.8|[3458, 5984, 7175, 8089, 8940, 9429, 9523, 9692, 9783, 9889, 9889, 9889, 9889, 9939, 9964, 9964]|10000|0
180|200|random|4.0|7.248895|3.702504|1.8|[4759, 7887, 9085, 9607, 9816, 9935, 9949, 9975, 9990, 9992, 9998]|10000|0
180|200|fixed|4.0|6.789327|6.367982|1.8|[3662, 5461, 6685, 7266, 7958, 8478, 8757, 9255, 9567, 9796, 9861, 9861, 9911, 9939, 9967, 9967, 9967, 9967]|10000|0
180|1|random|5.0|12.955879|3.143628|1.8|[38, 91, 135, 182, 243, 292, 349, 384, 429, 471, 523, 573, 626, 660, 707, 751, 790, 839, 882, 918, 960, 1007, 1049, 1074, 1124, 1168, 1207, 1247, 1284, 1326, 1358, 1401, 1442, 1479, 1516, 1555, 1597, 1637, 1671, 1712, 1753, 1785, 1800, 1835, 1873, 1903, 1936, 1976, 2007, 2043, 2080, 2113, 2143, 2171, 2198, 2230, 2262, 2289, 2317, 2351, 2366, 2398, 2434, 2461, 2490, 2517, 2549, 2584, 2619, 2645, 2680, 2711, 2743, 2775, 2805, 2836, 2868, 2890, 2917, 2948, 2976, 2990, 3018, 3038, 3050, 3080, 3106, 3128, 3152, 3174, 3197, 3226, 3248, 3271, 3304, 3329, 3352, 3373, 3388]|3399|0
